label,date,confirmed,recovered,deaths
germany,20200127,1,0,0
germany,20200128,4,0,0
germany,20200129,4,0,0
germany,20200130,5,0,0
germany,20200131,7,0,0
germany,20200201,8,0,0
germany,20200202,10,0,0
germany,20200203,12,0,0
germany,20200204,12,0,0
germany,20200205,12,0,0
germany,20200206,13,0,0
germany,20200207,14,0,0
germany,20200208,14,0,0
germany,20200209,14,0,0
germany,20200210,14,1,0
germany,20200211,16,3,0
germany,20200212,16,3,0
germany,20200213,16,4,0
germany,20200214,16,6,0
germany,20200215,16,6,0
germany,20200216,16,8,0
germany,20200217,16,10,0
germany,20200218,16,10,0
germany,20200219,16,10,0
germany,20200220,16,10,0
germany,20200221,16,11,0
germany,20200222,16,11,0
germany,20200223,16,11,0
germany,20200224,16,11,0
germany,20200225,19,14,0
germany,20200226,27,14,0
germany,20200227,47,14,0
germany,20200228,89,14,0
germany,20200229,112,15,0
germany,20200301,147,15,0
germany,20200302,184,15,0
germany,20200303,247,15,0
germany,20200304,390,14,1
germany,20200305,564,13,2
germany,20200306,724,12,3
germany,20200307,864,11,5
germany,20200308,1040,11,5
germany,20200309,1282,10,6
germany,20200310,1799,11,8
germany,20200311,2484,14,11
germany,20200312,3400,26,15
germany,20200313,4717,56,19
germany,20200314,5904,73,21
germany,20200315,6865,99,23
germany,20200316,8919,125,28
germany,20200317,11518,166,39
germany,20200318,14688,276,45
germany,20200319,17355,407,55
germany,20200320,20091,524,69
germany,20200321,22532,624,84
germany,20200322,25580,751,101
germany,20200323,30083,915,138
germany,20200324,34041,1300,174
germany,20200325,37856,1819,210
germany,20200326,44829,2495,281
germany,20200327,50804,3495,348
germany,20200328,55723,4382,427
germany,20200329,59949,5108,480
germany,20200330,66125,6642,616
germany,20200331,70985,8609,757
germany,20200401,77779,11023,909
germany,20200402,84788,12998,1107
germany,20200403,91159,15053,1275
germany,20200404,95614,16884,1427
germany,20200405,100024,19203,1576
germany,20200406,103493,22717,1687
germany,20200407,107458,25646,1983
germany,20200408,111779,28586,2196
germany,20200409,115523,34092,2451
germany,20200410,120157,38899,2688
germany,20200411,124076,42999,2761
germany,20200412,127295,46336,2996
germany,20200413,127942,51599,3085
germany,20200414,131087,55725,3366
germany,20200415,133186,61477,3684
germany,20200416,136255,67331,3971
germany,20200417,139391,72731,4214
germany,20200418,142850,76555,4443
germany,20200419,144882,80557,4578
germany,20200420,146275,84114,4697
germany,20200421,147882,87764,5011
germany,20200422,149631,91765,5229
germany,20200423,151192,95989,5395
germany,20200424,154077,100584,5702
germany,20200425,155708,104587,5818
germany,20200426,156994,107913,5912
germany,20200427,157884,109560,6018
germany,20200428,158914,112885,6182
germany,20200429,160653,115740,6365
germany,20200430,161994,119427,6535
germany,20200501,163397,123076,6669
germany,20200502,164424,126650,6753
germany,20200503,165022,129103,6807
germany,20200504,165374,130824,6895
germany,20200505,166167,132749,7048
germany,20200506,167277,134835,7226
germany,20200507,168895,136714,7344
germany,20200508,169964,139876,7417
germany,20200509,170784,141884,7498
germany,20200510,171241,143545,7509
germany,20200511,171968,144293,7603
germany,20200512,172492,145658,7690
germany,20200513,173547,147353,7807
germany,20200514,173932,148983,7863
germany,20200515,174681,150670,7926
germany,20200516,175203,152151,7958
germany,20200517,175825,153011,7983
germany,20200518,176007,153499,8055
germany,20200519,177239,154380,8130
germany,20200520,178004,155562,8186
germany,20200521,178207,157137,8218
germany,20200522,179216,158533,8254
germany,20200523,179424,159485,8284
germany,20200524,179772,160098,8294
germany,20200525,180097,160809,8342
germany,20200526,180671,161383,8393
germany,20200527,181012,162501,8467
germany,20200528,181683,163054,8491
germany,20200529,182414,163896,8529
germany,20200530,182652,164504,8543
germany,20200531,182847,165113,8551
germany,20200601,183030,165316,8565
germany,20200602,183290,166438,8586
germany,20200603,183513,167235,8624
germany,20200604,183846,167695,8649
germany,20200605,184274,168691,8675
germany,20200606,184784,169012,8684
